Last_Watched,Frequent_Watch,Reason_of_Watch,Frequent_Go_Cinema,Factors,  underrated geners, Action_Rate,Adventure_Rate,Comedy_Rate,Drama_Rate, Romance_Rate,Horror_Rate,Sci-fi_Rate,Musical_Rate,Family_Rate,Search_Before_Watch,Ads_effect,Usually_Disappoint,Cast,Genre,Director,Studio ,Reviews,Quality_ Story,Watching_Place,Why watching  home instead of cinema?, setup watching home, usuall way to watch movies at home, favorite Streaming Platform, Age, Major, Gender.,Critical Reviews,Friends' Opinions ,Internet Sites,TV Entertainment Programs
Less than a week,Once or twice,Social Media,Once or Twice a year,Quality of Story,Animation,1,2,4,3,2,4,2,1,2,Sometimes,Viral Videos,Usually,2,3,2,1,1,4,Home,Can watch the movie at my own pace ,Just regular sound surround system speakers,Downloaded from the Internet,Netflix,19,Veterinary Medicine,Female,0,1,0,0
This month,Three or four times,Social Media,Once or Twice a year,Quality of Story,No,4,4,1,3,3,4,1,1,3,Sometimes,Trailers,Sometimes,4,3,4,3,3,5,Home,My type,No,Downloaded from the Internet,Netflix ,20,Data Science,Male,0,0,0,0
Less than a week,More than four times,Social Media,I don't go to the Cinema,Quality of Story,No,4,4,1,4,2,3,4,1,1,Sometimes,Internet Sites,Sometimes,3,4,3,2,3,4,Home,Time ,No,Downloaded from the Internet,Pirate bay,20,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Social Media,Once or Twice a year,Acting,Yes ,3,1,5,4,3,5,4,1,4,Usually ,Trailers,Sometimes,3,4,5,4,5,5,Home,Because become comfortable and cheaper ,LG or Samsung Tv smart or from phone ,Downloaded from the Internet,"Egybest , watch it , Netflix ",19,Data Science,Female,0,0,0,0
Less than a week,Less than once,Social Media,I don't go to the Cinema,Acting,No,3,2,4,3,2,1,4,1,4,Never,Viral Videos,Sometimes,3,2,1,2,4,4,Home,More comfortable and i can focus more,No just in living room ,On TV,Egybest,21,Data Science,Female,0,0,0,0
Less than a week,Less than once,Social Media,Once or Twice a year,Quality of Story,No,1,1,5,5,5,1,1,1,5,Sometimes,Internet Sites,Sometimes,5,5,4,4,5,5,Home,I love being at home,No,Downloaded from the Internet,Egy best,20,Biology,Female,0,1,0,0
I don't watch movies often,Less than once,Recommended ,I don't go to the Cinema,Quality of Story,No,2,4,3,1,1,5,1,1,1,Never,Trailers,Sometimes,4,4,1,1,1,5,Home,The VR and my headset makes watching movies at home something incredible ,"VR, Headset and some popcorn ",Downloaded from the Internet,?? egy.. ,22,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,Mystery and detective fiction,4,5,2,5,5,4,2,4,4,Usually ,Internet Sites,Sometimes,3,5,4,3,2,5,Home,Comfy and inexpensive ,I like watching movies in bed with some snacks ,Downloaded from the Internet,Netflix and Egybest,20,Veterinary Medicine,Female,0,0,0,0
I don't watch movies often,Less than once,Trailers,I don't go to the Cinema,Quality of Story,Nope,3,4,1,4,2,2,1,1,1,Usually ,Trailers,Sometimes,3,1,4,1,2,4,Home,More free to react,"Food,water,tea,smoke",Downloaded from the Internet,Netflix,22,Data Science,Male,0,1,0,0
Less than a week,Three or four times,Recommended ,Once or Twice a year,Quality of Story,Not really I think all genres have their accurate index for appreciation ,4,5,4,4,4,3,5,2,3,Sometimes,Internet Sites,Sometimes,3,4,2,2,5,4,Home,I have more control over the movie and I am more comfortable ,I set my tv connected to my pc using an hdmi cable to show the movies I have downloaded or open a streaming platform like Netflix,On TV,Netflix,19,Cyber Security,Male,0,0,0,0
